이름	종류	위도	경도	일일처리 가능용량(만 통)	관할지역											
동서울집중국	대형집중국	37.53551	127.08612	900	"서울(중구, 종로, 용산, 성북, 동대문, 강동, 송파, 강남, 서초, 성동, 광진), 경기(남양주, 양평, 하남, 가평)"											동서울집중국
의정부집중국	대형집중국	37.74532	127.08186	300	"서울(도봉, 노원, 강북, 성북), 경기(연천, 포천, 동두천, 가평, 양주, 의정부, 구리, 남양주, 양평), 강원(철원)"											수원집중국
부천집중국	대형집중국	37.52949	126.7825	250	"서울(영등포, 강서, 양천), 인천, 경기(김포, 부천, 시흥)"											부천집중국
부산 우편집중국	대형집중국	35.21729	128.95873	250	"부산(기장 제외), 경남(김해, 밀양)"											의정부집중국
대구 우편집중국	대형집중국	35.91037	128.61468		"대구, 경북(경산, 청도, 군위, 고령, 칠곡, 성주, 구미, 김천)"											고양집중국
안양 우편물류센터	중형집중국	37.38852	126.94582		"서울(관악, 동작, 구로, 금천), 인천(옹진), 경기(광명, 안산, 과천, 의왕, 안양, 군포, 성남, 용인, 광주, 이천, 하남)"											성남집중국
성남 우편집중국	중형집중국	37.34128	127.10805	225	"경기(용인, 성남, 광주, 이천, 하남)"											안양집중국
안양 우편집중국	중형집중국	37.39136	126.95689	225	"서울(관악, 동작, 구로, 금천), 인천(옹진), 경기(광명, 안양, 과천, 군포, 안산, 의왕, 수원 장안, 수원 팔달)"											원주집중국
고양 우편집중국	중형집중국	37.63941	126.78518	225	"서울(은평, 서대문, 마포), 경기(파주, 고양, 김포)"											강릉집중국
대전 우편집중국	중형집중국	36.26105	127.27469	125	"대전, 충남(공주, 논산, 계룡, 부여, 서천, 청양, 보령)"											대전집중국
창원 우편집중국	중형집중국	35.19963	128.596	125	"창원, 경남(창녕, 함안, 고성, 통영, 거제)"											청주집중국
광주 우편집중국	중형집중국	35.21902	126.85199	125	"광주, 전남(영광, 장성, 곡성, 구례, 담양, 화순, 함평)"											천안집중국
수원 우편집중국	소형집중국	37.25424	127.07619	75	"경기(수원, 화성, 오산, 평택, 안성)"											광주집중국
원주 우편집중국	소형집중국	37.3396	127.93485	75	"경기(여주), 강원(춘천, 화천, 원주, 횡성, 영월, 평창, 정선, 홍천, 인제, 양구, 태백), 충북(제천, 단양), 경북(영주)"											전주집중국
강릉 우편집중국	소형집중국	37.75946	128.87391	50	"강원(강릉, 양양, 속초, 고성, 동해, 삼척)"											제주집중국
청주 우편집중국	소형집중국	36.62151	127.47092	75	"세종, 충북(청주, 충주, 진천, 괴산, 증평, 음성, 보은)"											순천집중국
천안 우편집중국	소형집중국	36.82084	127.12336	50	"충북(옥천, 영동), 충남(천안, 아산, 당진, 서산, 태안, 홍성, 예산, 금산)"											영암집중국
울산 우편집중국	소형집중국	35.57364	129.3579	75	"부산(기장), 울산, 경남(양산)"											부산집중국
안동 우편집중국	소형집중국	36.56054	128.73536	50	"경북(상주, 문경, 영주, 봉화, 예천, 안동, 청송, 영양, 의성)"											울산집중국
포항 우편집중국	소형집중국	36.04294	129.32287	80	"경북(경주, 영천, 포항, 영덕, 울진, 울릉)"											창원집중국
진주 우편집중국	소형집중국	35.21729	128.14197	75	"경남(진주, 사천, 하동, 남해, 거창, 의령, 산청, 함양, 합천)"											진주집중국
제주 우편집중국	소형집중국	33.48168	126.48063	35	제주											대구집중국
순천 집중과	소형집중국	34.94362	127.52441	50	"전남(광양, 순천, 여수, 보성, 고흥)"											안동집중국
영암 우편집중국	소형집중국	34.75112	126.45163	50	"전남(목포, 무안, 신안, 해남, 완도, 진도, 영암, 강진, 장흥, 나주)"											포항집중국
전주 우편집중국	소형집중국	35.96473	127.12776	75	"전북(전주, 완주, 임실, 진안, 익산, 군산, 김제, 부안, 정읍, 고창, 남원, 순창, 장수)"											
동서울 우편물류센터	소형집중국	37.5376	127.09043		"서울(성동, 서초, 광진, 중랑)"											
국제 우편물류센터	특수집중국	37.46806	126.47435													
부산 국제우체국	특수집중국	35.3262	129.03103													
																
																
																
		실제 지역관할은 시 단위보다 작은 경우가 종종 있었지만 이런 경우 시 단위까지만 표기함														
		위키백과 기준														
